
pkg.test.js               | 2 kB |   2.3 kB/s | ETA: 00:00:00 | 100%

redact.test.js            | 4 kB |   4.0 kB/s | ETA: 00:00:04 |  16%
redact.test.js            | 23 kB |  23.6 kB/s | ETA: 00:00:00 | 100%

serializers.test.js       | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  57%
serializers.test.js       | 6 kB |   6.9 kB/s | ETA: 00:00:00 | 100%

sinon-child-logger.test.j | 2 kB |   2.7 kB/s | ETA: 00:00:00 | 100%

stdout-protection.test.js | 1 kB |   1.2 kB/s | ETA: 00:00:00 | 100%

syncfalse.test.js         | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  92%
syncfalse.test.js         | 4 kB |   4.3 kB/s | ETA: 00:00:00 | 100%

timestamp-nano.test.js    | 1 kB |   1.0 kB/s | ETA: 00:00:00 | 100%

timestamp.test.js         | 3 kB |   3.8 kB/s | ETA: 00:00:00 | 100%

big.test.js               | 1 kB |   1.2 kB/s | ETA: 00:00:00 | 100%

bundlers-support.test.js  | 2 kB |   2.5 kB/s | ETA: 00:00:00 | 100%

caller.test.js            | 1 kB |   1.1 kB/s | ETA: 00:00:00 | 100%

core.test.js              | 4 kB |   4.0 kB/s | ETA: 00:00:03 |  23%
core.test.js              | 17 kB |  17.4 kB/s | ETA: 00:00:00 | 100%

core.test.ts              | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  61%
core.test.ts              | 6 kB |   6.5 kB/s | ETA: 00:00:00 | 100%

core.transpiled.test.ts   | 3 kB |   3.2 kB/s | ETA: 00:00:00 | 100%

crash.test.js             | 0 kB |   0.9 kB/s | ETA: 00:00:00 | 100%

module-link.test.js       | 4 kB |   4.0 kB/s | ETA: 00:00:00 |  75%
module-link.test.js       | 5 kB |   5.3 kB/s | ETA: 00:00:00 | 100%

pipeline.test.js          | 3 kB |   3.7 kB/s | ETA: 00:00:00 | 100%

repl.test.js              | 0 kB |   0.4 kB/s | ETA: 00:00:00 | 100%

syncfalse.test.js         | 1 kB |   1.9 kB/s | ETA: 00:00:00 | 100%

syncTrue.test.js          | 1 kB |   1.3 kB/s | ETA: 00:00:00 | 100%

targets.test.js           | 0 kB |   1.0 kB/s | ETA: 00:00:00 | 100%

uses-pino-config.test.js  | 3 kB |   3.7 kB/s | ETA: 00:00:00 | 100%

transport-stream.test.js  | 0 kB |   0.7 kB/s | ETA: 00:00:00 | 100%

pino-import.test-d.cts    | 0 kB |   0.9 kB/s | ETA: 00:00:00 | 100%

pino-multistream.test-d.t | 1 kB |   1.3 kB/s | ETA: 00:00:00 | 100%

pino-top-export.test-d.ts | 0 kB |   1.0 kB/s | ETA: 00:00:00 | 100%

pino-transport.test-d.ts  | 3 kB |   3.1 kB/s | ETA: 00:00:00 | 100%

pino-type-only.test-d.ts  | 2 kB |   2.2 kB/s | ETA: 00:00:00 | 100%

pino.test-d.ts            | 4 kB |   4.0 kB/s | ETA: 00:00:02 |  26%
pino.test-d.ts            | 14 kB |  14.9 kB/s | ETA: 00:00:00 | 100%

pino.ts                   | 2 kB |   2.4 kB/s | ETA: 00:00:00 | 100%

tsconfig.json             | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

.borp.yaml                | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

.editorconfig             | 0 kB |   0.2 kB/s | ETA: 00:00:00 | 100%

.eslintrc                 | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

dependabot.yml            | 0 kB |   0.3 kB/s | ETA: 00:00:00 | 100%

ci.yml                    | 2 kB |   2.0 kB/s | ETA: 00:00:00 | 100%

.taprc.yaml               | 0 kB |   0.1 kB/s | ETA: 00:00:00 | 100%

benchmark.js              | 2 kB |   2.9 kB/s | ETA: 00:00:00 | 100%

